iter	Passed	Remaining
403	8395	12385
404	8414	12361
405	8432	12337
406	8450	12312
407	8468	12288
408	8488	12265
409	8515	12254
410	8531	12226
411	8548	12200
412	8567	12176
413	8586	12154
414	8621	12153
415	8641	12131
416	8660	12107
417	8679	12084
418	8697	12060
419	8722	12045
420	8738	12018
421	8754	11990
422	8771	11965
423	8788	11939
424	8813	11924
425	8835	11905
426	8851	11878
427	8870	11854
428	8886	11828
429	8909	11810
430	8927	11786
431	8945	11762
432	8965	11740
433	8982	11714
434	9002	11693
435	9022	11671
436	9043	11650
437	9062	11627
438	9082	11606
439	9100	11582
440	9119	11559
441	9163	11568
442	9184	11547
443	9203	11524
444	9218	11497
445	9234	11470
446	9251	11445
447	9268	11420
448	9285	11395
449	9301	11368
450	9317	11342
451	9333	11315
452	9350	11290
453	9367	11265
454	9381	11237
455	9398	11212
456	9421	11194
457	9437	11167
458	9453	11142
459	9471	11118
460	9487	11093
461	9516	11081
462	9531	11055
463	9547	11029
464	9564	11004
465	9581	10979
466	9596	10952
467	9613	10927
468	9630	10903
469	9647	10878
470	9662	10852
471	9677	10825
472	9693	10799
473	9709	10774
474	9724	10747
475	9742	10724
476	9755	10696
477	9770	10670
478	9786	10644
479	9803	10620
480	9820	10595
481	9838	10573
482	9854	10548
483	9872	10524
484	9890	10501
485	9907	10477
486	9921	10450
487	9939	10428
488	9953	10401
489	9970	10377
490	9985	10351
491	10000	10325
492	10018	10302
493	10035	10278
494	10055	10258
495	10073	10235
496	10090	10212
497	10108	10189
498	10125	10166
499	10149	10149
500	10166	10125
501	10182	10101
502	10200	10078
503	10219	10057
504	10237	10035
505	10254	10011
506	10271	9988
507	10288	9964
508	10304	9940
509	10325	9920
510	10339	9894
511	10355	9870
512	10373	9847
513	10393	9827
514	10413	9807
515	10434	9787
516	10452	9764
517	10471	9743
518	10489	9721
519	10504	9696
520	10520	9672
521	10538	9649
522	10555	9627
523	10572	9603
524	10590	9582
525	10609	9560
526	10628	9539
527	10645	9516
528	10665	9496
529	10679	9470
530	10697	9448
531	10714	9425
532	10730	9401
533	10747	9378
534	10763	9354
535	10777	9329
536	10794	9307
537	10813	9286
538	10831	9263
539	10847	9240
540	10864	9217
541	10881	9194
542	10899	9173
543	10917	9151
544	10955	9146
545	10972	9123
546	10990	9101
547	11021	9090
548	11036	9066
549	11068	9055
550	11082	9031
551	11101	9009
552	11118	8987
553	11136	8965
554	11151	8941
555	11181	8928
556	11198	8906
557	11214	8883
558	11230	8860
559	11247	8837
560	11281	8828
561	11295	8803
562	11313	8781
563	11328	8757
564	11346	8735
565	11361	8711
566	11376	8687
567	11393	8665
568	11409	8642
569	11438	8629
570	11456	8607
571	11475	8586
572	11492	8564
573	11508	8541
574	11524	8517
575	11539	8494
576	11554	8470
577	11571	8448
578	11589	8427
579	11604	8403
580	11625	8383
581	11642	8361
582	11658	8338
583	11674	8316
584	11694	8296
585	11721	8280
586	11736	8257
587	11751	8234
588	11767	8211
589	11783	8188
590	11800	8166
591	11834	8155
592	11849	8132
593	11867	8111
594	11884	8089
595	11900	8066
596	11919	8046
597	11935	8023
598	11952	8001
599	11968	7979
600	11984	7956
601	12001	7934
602	12018	7912
603	12035	7890
604	12076	7884
605	12095	7863
606	12112	7842
607	12130	7821
608	12146	7798
609	12164	7777
610	12178	7753
611	12193	7730
612	12209	7708
613	12227	7686
614	12256	7672
615	12273	7650
616	12289	7628
